歌名:Shawn Mendes - Theres Nothing Holdin Me Back 連結:https://youtu.be/dT2owtxkU8k?t=57

歌名:Måneskin - Beggin’  連結:https://youtu.be/Xg72z08aTXY?t=17

歌名:The Chainsmokers - High   連結:https://www.youtube.com/watch?v=AfxsFsLhL04

歌名:24kGoldn - Mood   連結:https://youtu.be/GrAchTdepsU?t=13


歌名:Walk off the Earth Ft. D Smoke - Bet On Me  連結:https://youtu.be/1tpHnf9zw6o?

歌名:Tim Legend - soda city funk  連結: https://youtu.be/_4g7aqmuERE

歌名:Machine Gun Kelly ft. blackbear - my ex's best friend   連結:https://www.youtube.com/watch?v=J_n01uvyhI8

歌名:Dua Lipa - Don't Start Now  連結:https://www.youtube.com/watch?v=oygrmJFKYZY

歌名:Ava Max - Salt  連結:https://www.youtube.com/watch?v=PKWHYLtmAGA

歌名:Olivia Rodrigo - good 4 u   連結:https://www.youtube.com/watch?v=gNi_6U5Pm_o

歌名:VALORANT - Can’t Slow Me Down  連結:https://www.youtube.com/watch?v=xU2U73Tk-DM

歌名:inverness & William Bolton - Lost My Mind   連結:https://www.youtube.com/watch?v=8gQboSVQA1o

歌名:Jonasu - Black Magic  連結:https://www.youtube.com/watch?v=2Oc6LdaUiZE

歌名:Imagine Dragons - Bones   連結:https://www.youtube.com/watch?v=TO-_3tck2tg

歌名:Martin Garrix & Pierce Fulton feat. Mike Shinoda - Waiting For Tomorrow   連結:https://www.youtube.com/watch?v=GTaOXDmD3qk
